"site.x","site.y","riv_dist","env_dist","jac"
"TLB01","TLB01",0,0,0
"TLB01","TLB02",86.2908617663947,3.01735689958834,1
"TLB01","TLC01",637.270565651342,3.44899969264574,0.9375
"TLB01","TLC02",990.981998534917,2.75448544543276,0.923076923076923
"TLB01","TLC03",1102.40762524138,4.12573840040551,0.96
"TLB01","TLCG1",748.696192357321,4.55484495867423,1
"TLB01","TLM01",703.492999422831,3.63100683875546,0.967741935483871
"TLB01","TLM03",535.015537960869,3.52974823569835,0.971428571428571
"TLB01","TLM04",300.025894060934,3.55137482786173,0.935483870967742
"TLB01","TLM05",166.974340235683,3.78882542215743,0.918918918918919
"TLB01","TLM06",66.3152626497136,2.46508883681193,0.923076923076923
"TLB01","TLM08",322.296958437231,3.01189640233962,0.975609756097561
