Species,Genus
Brillia_parva,Brillia
Paramerina_spp,Paramerina
Psectrocladius_spp,Psectrocladius
Helocombus_spp,Helocombus
Paracricotopus_spp,Paracricotopus
Aeshna_spp,Aeshna
Ceraclea_slossonae,Ceraclea
Acroneuria_frisoni,Acroneuria
Pyralidae,Pyralidae
Nemertea,Nemertea
Neoporus_aulicus,Neoporus
Nilotanypus_americanus,Nilotanypus
Ranatra_australis,Ranatra
Ceraclea_mentiea,Ceraclea
Ceratopogonidae,Ceratopogonidae
Kribiodorum_perpulchrum,Kribiodorum
Pseudocentroptiloides_usa,Pseudocentroptiloides
Nectopsyche_pavida,Nectopsyche
Gloiobdella_elongata,Gloiobdella
Hydrometra_spp,Hydrometra
Ceratopogon_spp,Ceratopogon
Aeshnidae,Aeshnidae
Isoperla_holochlora_dark_form,Isoperla
Helocordulia_uhleri,Helocordulia
Rhyacophila_atrata,Rhyacophila
Heptageniidae,Heptageniidae
Cernotina_spp,Cernotina
Demicryptochironomus_sp_B,Demicryptochironomus
Epoicocladius_sp_3,Epoicocladius
Neoephemera_youngi,Neoephemera
Dasyhelea_spp,Dasyhelea
Baetidae,Baetidae
Paraphaenocladius_spp,Paraphaenocladius
Paracloeodes_fleeki,Paracloeodes
Orthocladius_rivicola,Orthocladius
Cricotopus_infuscatus,Cricotopus
Robackia_claviger,Robackia
Tropisternus_natator,Tropisternus
Enochrus_ochraceus,Enochrus
Neurocordulia_molesta,Neurocordulia
Hydrochus_spp,Hydrochus
Erythemis_simplicicollis,Erythemis
Tanytarsus_sp_P,Tanytarsus
Atrichopogon_spp,Atrichopogon
Cricotopus_cf_cylindraceus,Cricotopus
Suphisellus_spp,Suphisellus
Notonecta_spp,Notonecta
Ceraclea_transversa,Ceraclea
Stempellinella_spp,Stempellinella
Psychomyia_spp,Psychomyia
Tanytarsus_sp_D,Tanytarsus
Nais_behningi,Nais
Heterocloeon_spp,Heterocloeon
Serratella_spp,Serratella
Acentrella_spp,Acentrella
Helocordulia_selysi,Helocordulia
Lioporeus_pilatei,Lioporeus
Lestes_spp,Lestes
Djalmabatista_pulchra,Djalmabatista
Dicrotendipes_fumidus,Dicrotendipes
Serratella_spiculosa,Serratella
Cladotanytarsus_sp_A,Cladotanytarsus
Triaenodes_melacus,Triaenodes
Parapsyche_apicalis,Parapsyche
